2025-12-29 23:13:59,767 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3504, 633) localPos=PyQt5.QtCore.QPoint(3504, 633)
2025-12-29 23:13:59,770 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 281, 407)
2025-12-29 23:13:59,778 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3528, 663) localPos=PyQt5.QtCore.QPoint(3528, 663)
2025-12-29 23:13:59,782 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 305, 437)
2025-12-29 23:13:59,789 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3536, 672) localPos=PyQt5.QtCore.QPoint(3536, 672)
2025-12-29 23:13:59,789 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3548, 689) localPos=PyQt5.QtCore.QPoint(3548, 689)
2025-12-29 23:13:59,792 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 325, 463)
2025-12-29 23:13:59,797 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3554, 696) localPos=PyQt5.QtCore.QPoint(3554, 696)
2025-12-29 23:13:59,799 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 331, 470)
2025-12-29 23:13:59,809 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3558, 703) localPos=PyQt5.QtCore.QPoint(3558, 703)
2025-12-29 23:13:59,810 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 335, 477)
2025-12-29 23:13:59,818 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3568, 718) localPos=PyQt5.QtCore.QPoint(3568, 718)
2025-12-29 23:13:59,821 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 345, 492)
2025-12-29 23:13:59,827 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3572, 723) localPos=PyQt5.QtCore.QPoint(3572, 723)
2025-12-29 23:13:59,830 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 349, 497)
2025-12-29 23:13:59,835 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3584, 743) localPos=PyQt5.QtCore.QPoint(3584, 743)
2025-12-29 23:13:59,838 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 361, 517)
2025-12-29 23:13:59,844 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3590, 750) localPos=PyQt5.QtCore.QPoint(3590, 750)
2025-12-29 23:13:59,847 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 367, 524)
2025-12-29 23:13:59,858 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3600, 765) localPos=PyQt5.QtCore.QPoint(3600, 765)
2025-12-29 23:13:59,864 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 377, 539)
2025-12-29 23:13:59,875 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3606, 777) localPos=PyQt5.QtCore.QPoint(3606, 777)
2025-12-29 23:13:59,878 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 383, 551)
2025-12-29 23:13:59,889 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3615, 795) localPos=PyQt5.QtCore.QPoint(3615, 795)
